Time (seconds),strength
0.85,979
0.96,1042
1.07,1089
1.17,1132
1.27,964
1.38,910
1.48,1028
1.59,1010
1.69,892
1.79,1049
1.90,1405
2.00,1191
2.11,877
2.21,1253
2.31,936
2.42,1476
2.52,1000
2.63,991
2.73,972
2.84,1129
2.94,972
3.05,991
3.15,915
3.25,1094
3.36,960
3.49,1017
3.59,988
3.70,1043
3.80,1001
3.91,999
4.01,1644
1.21,1095
1.32,1310
1.42,977
1.53,891
1.64,889
1.75,1035
1.86,957
1.96,1015
2.07,951
2.18,1042
2.29,964
2.40,762
2.50,760
2.61,1495
2.72,865
2.83,898
2.94,992
3.04,1078
3.15,1059
3.26,1058
3.37,1225
3.50,1226
3.61,1057
3.72,1058
3.82,996
3.93,1070
4.04,1014
4.15,1057
4.26,1100
4.36,1089
4.47,1233
4.58,933
4.69,790
4.80,907
4.90,963
5.01,1015
5.12,1025
5.23,1076
5.34,1143
5.44,1193
5.55,1007
5.66,965
5.77,941
5.88,1010
5.98,1058
6.09,1169
6.20,1269
6.34,859
6.44,789
6.55,875
6.66,968
6.76,1030
6.87,927
6.98,1179
7.09,918
7.20,973
7.30,869
7.41,2558
7.52,1035
7.63,1340
7.74,857
7.84,880
7.95,1024
8.06,922
8.17,948
8.28,1065
8.39,1284
8.49,599
8.60,1287
8.71,865
8.82,1164
8.92,714
9.03,1165
9.14,1105
9.30,1130
9.41,1000
9.51,1175
9.62,1138
9.73,881
9.84,583
9.94,1287
10.05,1317
10.16,449
10.27,1422
10.38,1119
10.48,920
10.59,1209
10.70,1211
10.81,803
10.92,1174
11.02,1097
11.13,962
11.24,1018
11.35,1025
11.46,1172
11.56,1083
11.67,840
11.78,995
11.88,1074
12.01,988
12.12,1103
12.22,1012
12.33,1006
12.44,1018
12.55,997
12.66,895
12.76,968
12.87,983
12.98,1144
13.09,1154
13.20,951
13.30,1067
13.41,1023
13.52,771
13.63,855
13.74,1004
13.84,752
13.95,1199
14.06,1233
14.17,996
14.28,850
14.38,877
14.49,850
14.63,984
14.73,851
14.84,2176
14.95,1125
15.06,854
15.16,2384
15.27,862
15.38,987
15.49,1129
15.60,1415
15.70,1468
15.81,1618
15.92,1372
16.03,1184
16.14,878
16.24,1018
16.35,1172
16.46,976
16.57,1071
16.68,1124
16.78,1088
16.89,1060
17.00,800
17.11,848
17.24,973
17.35,1042
1.21,1017
1.31,1013
1.42,1021
1.53,1024
1.63,1017
1.74,1039
1.85,1011
1.95,1027
2.06,1018
2.17,1014
2.27,1019
2.38,1018
2.49,982
2.59,1026
2.70,1014
2.81,1034
2.91,1021
3.02,1010
3.13,1029
3.23,1008
3.34,1016
3.45,1016
3.55,1012
3.66,1024
3.82,1024
3.92,1020
4.03,1019
4.14,1016
4.25,1012
4.35,999
4.46,1024
4.57,1020
4.67,1010
4.78,1027
4.89,1024
4.99,1023
5.10,1015
5.21,1023
5.31,1011
5.42,1027
5.53,1015
5.64,1011
5.74,1016
5.85,1011
5.96,1023
6.06,1007
6.17,1023
6.27,1023
6.38,1027
6.49,1015
6.62,1011
6.73,1031
6.83,1018
6.94,987
7.04,1011
7.15,1015
7.26,1019
7.37,1030
7.47,1018
7.58,1014
7.69,1028
7.80,1022
7.90,1015
8.01,1018
8.11,1014
8.22,1022
8.33,1022
8.43,1015
8.54,1011
8.65,1010
8.75,1028
8.86,1006
8.96,1014
9.07,1014
9.18,1007
9.31,1019
9.42,1014
